t_km,x_km,y_km,z_km
0,7000,0,0
100,6959.37,753.144,0
200,6837.94,1497.54,0
300,6637.12,2224.56,0
400,6359.24,2925.74,0
500,6007.54,3592.96,0
600,5586.09,4218.47,0
700,5099.79,4795,0
800,4554.28,5315.86,0
900,3955.9,5775.01,0
1000,3311.59,6167.11,0
1100,2628.83,6487.61,0
1200,1915.56,6732.79,0
1300,1180.04,6899.81,0
1400,430.822,6986.71,0
1500,-323.396,6992.51,0
1600,-1073.86,6917.12,0
1700,-1811.86,6761.43,0
1800,-2528.82,6527.23,0
1900,-3216.42,6217.26,0
2000,-3866.68,5835.1,0
2100,-4472.05,5385.2,0
2200,-5025.49,4872.78,0
2300,-5520.6,4303.78,0
2400,-5951.61,3684.82,0
2500,-6313.52,3023.08,0
2600,-6602.13,2326.24,0
2700,-6814.09,1602.4,0
2800,-6946.94,859.945,0
2900,-6999.14,107.51,0
3000,-6970.07,-646.172,0
3100,-6860.09,-1392.35,0
3200,-6670.46,-2122.37,0
3300,-6403.38,-2827.74,0
3400,-6061.97,-3500.29,0
3500,-5650.17,-4132.19,0
3600,-5172.78,-4716.13,0
3700,-4635.33,-5245.31,0
3800,-4044.06,-5713.59,0
3900,-3405.84,-6115.53,0
4000,-2728.09,-6446.48,0
4100,-2018.65,-6702.58,0
4200,-1285.79,-6880.86,0
4300,-537.99,-6979.26,0
4400,216.051,-6996.64,0
4500,967.585,-6932.78,0
4600,1707.88,-6788.43,0
4700,2428.36,-6565.27,0
4800,3120.63,-6265.88,0
4900,3776.68,-5893.75,0
5000,4388.88,-5453.2,0
5100,4950.13,-4949.33,0
5200,5453.91,-4388.01,0
5300,5894.37,-3775.74,0
5400,6266.39,-3119.63,0
5500,6565.66,-2427.3,0
5600,6788.71,-1706.8,0
5700,6932.94,-966.477,0
5800,6996.68,-214.935,0
5828.52,6999.98,0.219143,0
